project_id,requirement,e_sub,k_sub,success,ln_wage_eq,ai_score
public_001,3D model file with marquise-cut diamond (.3dm format),0.0,0.0,0.15,1.7147984280919266,0.1134031031726403
public_001,JPEG Images (minimum 1280x1280 pixels resolution):,0.0,0.0,0.15,1.7147984280919266,0.1134031031726403
public_001,"Rose gold version, front view (.jpg format)",0.0,0.0,0.15,1.7147984280919266,0.1134031031726403
public_001,"Rose gold version, side angle view (.jpg format)",0.0,0.0,0.15,1.7147984280919266,0.1134031031726403
public_001,"Yellow gold version, front view (.jpg format)",0.0,0.0,0.15,1.7147984280919266,0.1134031031726403
public_001,"Yellow gold version, side angle view (.jpg format)",0.0,0.0,0.15,1.7147984280919266,0.1134031031726403
public_002,"Audience: Homeowners, Real estate developers, Facility managers, Landscapers, Anyone in need of tree",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,"Tone: Professional yet friendly, instilling confidence and reliability",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,Length: Around 60 seconds,0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,"Visual Preference: Bold font, natural color palette (greens, browns, light blues), nature-related ic",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,"Video style: Flat design / modern style, subtle transitions and motion graphics, clean 2D animation,",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,We start with a thorough consultation to understand your tree care needs.,0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,"Whether it's shaping your tree, pruning it, bracing it, removing a stump, or grinding it, our expert",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,We create a customized care plan tailored to each tree's specific requirements.,0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,"Using the latest technology and techniques, our skilled team performs the work efficiently and safel",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,"At Skyline Tree Services, safety is our top priority. We ensure all precautions are taken to protect",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,"Once the job is done, we clean up thoroughly, leaving your space as beautiful as we found it.",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,Raw voiceover audio file (`inputs/VoiceOver.wav`),0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_002,"2D animated video with audio from the provided voiceover (MP4, 1080p resolution)",0.0,0.0,0.1,1.6739764335716716,0.1313807166198247
public_003,Water droplet,0.0,0.0,0.02,3.871201010907891,0.3100317881564861
public_003,Barley grain,0.0,0.0,0.02,3.871201010907891,0.3100317881564861
public_003,Beer can with open pull tab,250.67961140796442,22.808284823045398,0.02,3.871201010907891,0.3100317881564861
public_003,Mug of beer,0.0,0.0,0.02,3.871201010907891,0.3100317881564861
public_003,Barrel of beer,0.0,0.0,0.02,3.871201010907891,0.3100317881564861
public_003,"Platform: Web-based, compatible with all major browsers (Chrome, Safari, Firefox, Edge).",61.58761302828914,17.390549024040887,0.02,3.871201010907891,0.3100317881564861
public_003,Cross-Platform Compatibility: Works seamlessly on desktop and mobile (iOS and Android) with responsi,105.07395052710105,22.637438880466664,0.02,3.871201010907891,0.3100317881564861
